env_1	env_2	raw	normalized
food-animal and animal feed	sediment	1.0552147239263803	0.14723926380368071
hydrocarbon resources-fluids/swabs	human-gut	1.0	0.0
hydrocarbon resources-fluids/swabs	hydrocarbon resources-cores	1.0208333333333333	0.05555555555555536
hydrocarbon resources-fluids/swabs	human-associated	1.0	0.0
hydrocarbon resources-fluids/swabs	microbial mat/biofilm	1.0	0.0
hydrocarbon resources-fluids/swabs	food-farm environment	1.036697247706422	0.09785932721712538
hydrocarbon resources-fluids/swabs	plant-associated	1.0	0.0
hydrocarbon resources-fluids/swabs	built environment	1.0	0.0
hydrocarbon resources-fluids/swabs	sediment	1.0	0.0
human-gut	hydrocarbon resources-cores	1.0	0.0
human-gut	human-associated	1.0357142857142858	0.0952380952380955
human-gut	microbial mat/biofilm	1.0	0.0
human-gut	food-farm environment	1.0858895705521472	0.22903885480572583
human-gut	plant-associated	1.0217391304347827	0.05797101449275388
human-gut	built environment	1.0	0.0
human-gut	sediment	1.0	0.0
hydrocarbon resources-cores	human-associated	1.0	0.0
hydrocarbon resources-cores	microbial mat/biofilm	1.0	0.0
hydrocarbon resources-cores	food-farm environment	1.0373831775700935	0.09968847352024923
hydrocarbon resources-cores	plant-associated	1.0	0.0
hydrocarbon resources-cores	built environment	1.0	0.0
hydrocarbon resources-cores	sediment	1.0	0.0
human-associated	microbial mat/biofilm	1.0	0.0
human-associated	food-farm environment	1.0726256983240223	0.19366852886405952
human-associated	plant-associated	1.0277777777777777	0.0740740740740738
human-associated	built environment	1.0	0.0
human-associated	sediment	1.0	0.0
microbial mat/biofilm	food-farm environment	1.068062827225131	0.18150087260034908
microbial mat/biofilm	plant-associated	1.0	0.0
microbial mat/biofilm	built environment	1.0	0.0
microbial mat/biofilm	sediment	1.0	0.0
food-farm environment	plant-associated	1.1297297297297297	0.34594594594594597
food-farm environment	built environment	1.0133333333333334	0.035555555555555785
food-farm environment	sediment	1.0659898477157361	0.175972927241963
plant-associated	built environment	1.0	0.0
plant-associated	sediment	1.0	0.0
built environment	sediment	1.0	0.0
wastewater/sludge		1.0225563909774436	0.060150375939849475
agriculture		1.1040723981900453	0.2775263951734542
human-oral		1.0232558139534884	0.0620155038759691
human-vaginal		1.0217391304347827	0.05797101449275388
host-associated		1.0357142857142858	0.0952380952380955
symbiont-associated		1.0769230769230769	0.20512820512820498
soil		1.0266666666666666	0.07111111111111097
food-human foods		1.0463917525773196	0.12371134020618572
air		1.024793388429752	0.06611570247933862
human-skin		1.023076923076923	0.06153846153846132
miscellaneous natural or artificial environment		1.0364963503649636	0.09732360097323618
water		1.0225988700564972	0.060263653483992506
food-food production facility		1.064516129032258	0.17204301075268802
food-animal and animal feed		1.0702702702702702	0.18738738738738725
hydrocarbon resources-fluids/swabs		1.011111111111111	0.029629629629629523
human-gut		1.023076923076923	0.06153846153846132
hydrocarbon resources-cores		1.0171428571428571	0.04571428571428567
human-associated		1.0205479452054795	0.054794520547945424
microbial mat/biofilm		1.0256410256410255	0.06837606837606813
food-farm environment		1.048888888888889	0.1303703703703706
plant-associated		1.0301204819277108	0.08032128514056207
built environment		1.003875968992248	0.010335917312661516
sediment		1.0246913580246915	0.06584362139917725
agriculture	wastewater/sludge	1.0423280423280423	0.1128747795414462
human-oral	wastewater/sludge	1.0	0.0
human-vaginal	wastewater/sludge	1.0	0.0
host-associated	wastewater/sludge	1.0	0.0
symbiont-associated	wastewater/sludge	1.121212121212121	0.3232323232323229
soil	wastewater/sludge	1.0	0.0
food-human foods	wastewater/sludge	1.0492957746478873	0.13145539906103268
air	wastewater/sludge	1.0	0.0
human-skin	wastewater/sludge	1.0	0.0
miscellaneous natural or artificial environment	wastewater/sludge	1.0	0.0
water	wastewater/sludge	1.0095238095238095	0.025396825396825307
food-food production facility	wastewater/sludge	1.036764705882353	0.09803921568627476
food-animal and animal feed	wastewater/sludge	1.0676691729323309	0.180451127819549
hydrocarbon resources-fluids/swabs	wastewater/sludge	1.0	0.0
human-gut	wastewater/sludge	1.0	0.0
hydrocarbon resources-cores	wastewater/sludge	1.0	0.0
human-associated	wastewater/sludge	1.0	0.0
microbial mat/biofilm	wastewater/sludge	1.0	0.0
food-farm environment	wastewater/sludge	1.0588235294117647	0.15686274509803924
plant-associated	wastewater/sludge	1.0	0.0
built environment	wastewater/sludge	1.0	0.0
sediment	wastewater/sludge	1.0	0.0
human-oral	agriculture	1.0441988950276244	0.11786372007366512
human-vaginal	agriculture	1.0421052631578946	0.11228070175438572
host-associated	agriculture	1.0702702702702702	0.18738738738738725
symbiont-associated	agriculture	1.105263157894737	0.2807017543859652
soil	agriculture	1.1445086705202312	0.3853564547206165
food-human foods	agriculture	1.0772357723577235	0.205962059620596
air	agriculture	1.0508474576271187	0.13559322033898327
human-skin	agriculture	1.043956043956044	0.1172161172161174
miscellaneous natural or artificial environment	agriculture	1.041025641025641	0.10940170940170961
water	agriculture	1.0344827586206897	0.09195402298850593
food-food production facility	agriculture	1.070539419087137	0.1881051175656984
food-animal and animal feed	agriculture	1.0756302521008403	0.20168067226890743
hydrocarbon resources-fluids/swabs	agriculture	1.0209205020920502	0.05578800557880056
human-gut	agriculture	1.043956043956044	0.1172161172161174
hydrocarbon resources-cores	agriculture	1.0300429184549356	0.0801144492131615
human-associated	agriculture	1.0454545454545454	0.1212121212121211
microbial mat/biofilm	agriculture	1.0476190476190477	0.12698412698412712
food-farm environment	agriculture	1.2456140350877194	0.6549707602339184
plant-associated	agriculture	1.1354166666666667	0.3611111111111113
built environment	agriculture	1.00625	0.016666666666666902
sediment	agriculture	1.0511627906976744	0.13643410852713167
human-vaginal	human-oral	1.0212765957446808	0.05673758865248205
host-associated	human-oral	1.0517241379310345	0.1379310344827586
symbiont-associated	human-oral	1.2159090909090908	0.5757575757575756
soil	human-oral	1.0	0.0
food-human foods	human-oral	1.0507246376811594	0.1352657004830918
air	human-oral	1.0	0.0
human-skin	human-oral	1.0256410256410255	0.06837606837606813
miscellaneous natural or artificial environment	human-oral	1.0	0.0
water	human-oral	1.0092592592592593	0.024691358024691468
food-food production facility	human-oral	1.0378787878787878	0.10101010101010093
